countries,region,tfr,contraception,educationMale,educationFemale,lifeMale,lifeFemale,infantMortality,GDPperCapita,economicActivityMale,economicActivityFemale,illiteracyMale,illiteracyFemale
Afghanistan,Asia,7,-1,-1,-1,45,46,154,2848,88,7,53,85
Albania,Europe,3,-1,-1,-1,68,74,32,863,-1,-1,-1,-1
Algeria,Africa,4,52,11,10,68,70,44,1531,76,8,26,51
American Samoa,Asia,-1,-1,-1,-1,68,73,11,-1,59,42,0,0
Andorra,Europe,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Angola,Africa,7,-1,-1,-1,45,48,124,355,-1,-1,-1,-1
Antigua,America,-1,53,-1,-1,-1,-1,24,6966,74,56,-1,-1
Argentina,America,3,-1,-1,-1,70,77,22,8055,76,41,4,4
Armenia,Europe,2,22,-1,-1,67,74,25,354,65,52,0,1
Australia,Oceania,2,76,16,16,75,81,6,20046,74,54,-1,-1
Austria,Europe,1,71,14,14,74,80,6,29006,70,48,-1,-1
Azerbaijan,Asia,2,17,-1,-1,67,75,33,321,-1,-1,0,1
Bahamas,America,2,62,12,13,71,77,14,12545,81,67,2,2
Bahrain,Asia,3,53,13,13,71,75,18,9073,88,29,11,21
Bangladesh,Asia,3,49,-1,-1,58,58,78,280,89,56,51,74
Barbados,America,2,55,-1,-1,74,79,9,7173,73,61,2,3
Belarus,Europe,1,50,-1,-1,64,75,15,994,76,61,0,1
Belgium,Europe,2,79,16,15,74,81,7,26582,-1,-1,-1,-1
Belize,America,4,47,11,10,73,76,30,2569,79,34,21,23
Benin,Africa,6,16,-1,-1,52,57,84,391,90,58,51,74
Bhutan,Asia,6,19,-1,-1,52,55,104,166,-1,-1,44,72
Bolivia,America,4,45,-1,-1,60,63,66,909,74,56,10,24
Bosnia,Europe,1,-1,-1,-1,71,76,13,271,-1,-1,-1,-1
Botswana,Africa,4,33,11,11,49,52,56,3640,75,42,20,40
Brazil,America,2,74,-1,-1,63,71,42,4510,84,54,17,17
Brunei,Asia,3,-1,12,12,73,78,9,16683,82,46,7,17
Bulgaria,Europe,1,-1,12,13,68,75,16,1518,61,54,1,2
Burkina Faso,Africa,7,8,3,2,45,47,97,165,89,79,71,91
Burundi,Africa,6,9,5,4,46,49,114,205,90,91,51,78
Cambodia,Asia,5,-1,-1,-1,53,55,102,130,77,85,-1,-1
Cameroon,Africa,5,16,-1,-1,55,57,58,627,-1,-1,25,48
Canada,America,2,66,17,18,76,82,6,18943,72,58,-1,-1
Cape Verde,Africa,4,-1,9,9,66,68,41,994,85,41,19,36
Central African Rep,Africa,5,24,-1,-1,46,51,96,379,87,69,32,48
Chad,Africa,6,-1,-1,-1,46,49,115,187,91,25,38,65
Chile,America,2,30,12,12,72,78,13,4736,76,35,5,5
China,Asia,2,83,-1,-1,68,72,38,582,85,73,10,27
Colombia,America,3,72,-1,-1,68,74,24,2215,79,50,9,9
Comoros,Africa,6,21,-1,-1,57,58,82,367,-1,-1,36,50
Congo,Africa,6,-1,-1,-1,49,53,90,1008,68,49,17,33
Cook Islands,Oceania,4,38,-1,-1,67,73,26,5432,71,44,3,4
Costa Rica,America,3,75,-1,-1,75,79,12,2696,79,33,5,5
Croatia,Europe,2,-1,12,12,68,77,10,4014,64,44,1,4
Cuba,America,2,70,11,12,74,78,9,1983,73,41,4,5
Cyprus,Europe,2,-1,-1,-1,75,80,7,11459,78,48,2,9
Czech Republic,Europe,1,69,13,13,70,76,9,4450,72,52,-1,-1
Dem Rep of the Congo,Africa,6,8,7,4,51,55,89,117,-1,-1,13,32
Denmark,Europe,2,78,15,15,73,78,7,33191,83,72,-1,-1
Djibouti,Africa,5,-1,-1,-1,49,52,106,893,-1,-1,40,67
